Time,MyBus0
574.32us,32
574.33us,46
574.53us,47
575.12us,32
575.13us,48
575.32us,32
575.33us,47
575.72us,46
575.92us,32
575.93us,48
576.12us,32
576.13us,46
576.33us,47
576.52us,45
576.72us,44
576.92us,32
576.93us,49
577.12us,33
577.13us,47
577.52us,46
577.73us,47
578.52us,46
578.73us,47
579.12us,46
579.32us,32
579.33us,48
579.52us,32
579.53us,45
579.72us,33
579.73us,49
580.12us,33
580.13us,47
581.32us,46
581.53us,47
581.92us,46
582.13us,47
582.32us,46
582.53us,47
582.72us,32
582.73us,48
582.92us,32
582.93us,45
583.13us,47
584.32us,46
584.53us,47
584.92us,46
585.13us,47
585.32us,46
585.53us,47
585.72us,46
585.93us,47
586.52us,33
586.53us,49
586.72us,33
586.73us,45
586.92us,33
586.93us,49
587.12us,33
587.13us,47
587.52us,33
587.53us,49
587.72us,33
587.73us,47
589.12us,32
589.13us,48
589.32us,32
589.33us,47
589.92us,46
590.13us,47
590.52us,46
590.92us,44
590.93us,45
591.13us,47
591.72us,33
591.73us,49
591.92us,32
591.93us,46
592.13us,47
592.52us,45
592.73us,47
593.32us,46
593.53us,47
594.12us,32
594.13us,48
594.32us,32
594.33us,46
594.53us,47
594.92us,45
595.12us,32
595.13us,48
595.32us,32
595.33us,46
595.53us,47
596.12us,45
596.33us,47
596.72us,46
596.93us,47
597.32us,46
597.53us,47
597.72us,45
597.93us,47
598.32us,46
598.93us,47
599.12us,45
599.32us,44
599.53us,46
599.72us,44
599.73us,45
599.93us,47
600.12us,46
600.33us,47
600.72us,46
600.92us,44
600.93us,45
601.13us,47
601.52us,46
601.73us,47
601.92us,45
602.33us,46
602.52us,44
602.53us,45
602.73us,47
602.92us,45
603.13us,46
603.33us,47
603.52us,46
604.12us,44
604.13us,45
604.32us,44
604.33us,46
604.73us,47
605.32us,46
605.52us,44
605.53us,45
605.73us,46
606.13us,47
606.32us,45
606.53us,47
606.72us,45
606.93us,47
607.12us,45
607.53us,46
607.72us,44
607.73us,45
608.13us,47
608.32us,45
609.93us,46
610.12us,44
610.13us,45
610.33us,46
610.52us,44
610.53us,45
611.32us,44
611.53us,45
611.72us,44
611.73us,46
612.12us,44
612.13us,45
612.32us,44
612.53us,45
613.32us,44
613.53us,45
613.92us,44
614.13us,45
614.92us,41
614.93us,43
615.12us,41
615.13us,45
615.32us,41
615.33us,43
615.52us,40
615.53us,44
616.53us,45
616.72us,44
617.13us,45
617.32us,41
617.33us,43
617.52us,41
617.53us,45
617.72us,41
617.73us,43
618.12us,40
618.13us,44
618.32us,40
618.33us,43
618.52us,40
618.53us,44
618.72us,40
618.73us,43
618.92us,41
618.93us,45
619.12us,41
619.13us,43
619.32us,40
619.33us,44
619.52us,40
619.53us,43
620.12us,41
620.33us,45
620.52us,41
620.53us,43
621.92us,42
622.13us,43
622.32us,40
622.33us,44
622.52us,40
622.53us,42
622.73us,43
622.92us,42
623.13us,43
623.72us,41
623.73us,45
623.92us,41
624.33us,42
624.53us,43
624.92us,41
625.13us,43
625.33us,42
625.52us,40
625.53us,41
625.73us,42
625.93us,43
626.32us,41
626.93us,42
627.12us,40
627.13us,41
627.53us,43
627.72us,41
628.13us,42
628.32us,40
628.33us,41
629.33us,40
629.53us,41
629.72us,33
629.73us,39
629.92us,33
629.93us,40
630.13us,41
630.72us,33
630.73us,39
630.92us,33
630.93us,41
631.33us,40
631.53us,41
631.73us,40
632.13us,41
632.32us,33
632.33us,39
632.72us,33
632.73us,41
632.92us,33
632.93us,39
633.32us,33
633.33us,41
633.52us,33
633.53us,39
633.92us,33
633.93us,40
634.12us,32
634.13us,39
636.72us,38
637.12us,36
637.13us,37
637.33us,38
637.53us,39
637.72us,37
637.93us,38
638.12us,32
638.13us,40
638.32us,32
638.33us,39
638.72us,38
638.92us,36
638.93us,37
639.53us,39
639.72us,36
639.93us,39
640.12us,37
640.33us,39
640.52us,38
640.72us,36
640.93us,37
642.33us,38
642.52us,34
642.53us,35
642.72us,33
642.73us,37
643.12us,36
643.52us,32
643.53us,35
643.92us,33
643.93us,37
644.12us,33
644.13us,35
644.52us,32
644.53us,36
644.92us,32
644.93us,35
645.12us,33
645.33us,36
645.52us,32
645.53us,35
645.72us,33
645.73us,36
645.92us,32
645.93us,35
646.32us,32
646.33us,36
646.52us,32
646.53us,35
646.72us,33
646.93us,35
647.52us,33
647.53us,37
647.72us,32
647.73us,34
647.93us,35
648.32us,34
648.52us,2
648.53us,27
648.72us,1
648.73us,33
649.32us,32
649.33us,34
649.53us,35
649.72us,33
649.93us,35
650.12us,33
650.53us,35
650.72us,33
650.73us,32
650.93us,33
651.32us,1
651.33us,31
651.52us,1
651.53us,33
651.73us,32
651.93us,33
652.32us,1
652.33us,31
652.72us,1
652.73us,32
652.93us,33
653.12us,1
653.13us,31
653.32us,1
653.33us,33
653.52us,1
653.53us,29
653.73us,31
653.92us,1
653.93us,33
654.12us,1
654.13us,31
654.73us,30
654.92us,0
654.93us,32
655.12us,0
655.13us,31
655.72us,1
655.73us,32
655.92us,0
655.93us,31
656.12us,1
656.13us,33
656.32us,1
656.33us,31
657.33us,30
657.53us,31
657.93us,30
658.13us,31
658.32us,29
658.53us,31
658.92us,27
659.13us,31
659.32us,29
659.53us,30
659.72us,28
659.73us,29
660.72us,25
660.73us,27
660.92us,24
660.93us,28
661.13us,29
661.32us,28
661.52us,24
661.53us,27
661.72us,25
661.73us,29
662.12us,25
662.13us,27
662.33us,31
662.52us,29
662.53us,28
662.72us,24
662.73us,27
662.92us,25
662.93us,29
663.12us,25
663.13us,27
663.32us,25
663.33us,29
663.52us,25
663.53us,27
665.52us,25
665.73us,27
666.12us,25
666.13us,28
666.32us,24
666.33us,27
666.53us,26
666.73us,27
666.92us,25
667.13us,27
667.32us,26
667.53us,27
667.72us,25
668.13us,27
668.32us,25
669.73us,24
669.93us,25
670.12us,17
670.13us,23
670.52us,17
670.53us,25
670.72us,17
670.73us,23
670.92us,17
670.93us,25
671.32us,17
671.33us,23
671.53us,22
671.73us,23
672.12us,17
672.13us,24
672.32us,16
672.33us,23
672.52us,17
672.53us,24
672.72us,16
672.73us,23
673.12us,21
673.32us,17
673.33us,25
673.52us,17
673.53us,23
673.72us,17
673.93us,23
674.72us,21
674.93us,23
675.13us,22
675.33us,23
675.52us,21
675.73us,22
675.93us,23
676.12us,21
676.33us,22
676.52us,20
676.53us,21
676.72us,17
676.73us,19
676.92us,17
676.93us,21
678.52us,17
678.53us,19
678.72us,17
678.73us,21
678.92us,17
678.93us,19
679.12us,17
679.13us,21
679.32us,17
679.33us,19
679.52us,17
679.53us,21
679.72us,17
679.73us,19
680.52us,17
680.53us,21
680.72us,17
680.73us,19
682.13us,18
682.33us,19
682.72us,17
682.93us,19
683.12us,17
683.93us,19
684.12us,17
684.53us,19
684.73us,16
684.93us,19
685.13us,17
686.32us,1
686.33us,15
686.53us,16
686.93us,17
687.12us,1
687.13us,15
687.32us,1
687.33us,17
687.52us,1
687.53us,15
689.12us,1
689.13us,16
689.32us,0
689.33us,15
689.73us,14
689.92us,12
689.93us,13
690.13us,15
690.32us,13
690.93us,15
691.32us,13
691.33us,12
691.53us,13
692.93us,12
693.53us,13
693.73us,12
693.93us,13
694.12us,9
694.13us,11
694.52us,9
694.53us,13
694.72us,9
694.73us,10
694.92us,8
694.93us,13
695.12us,9
695.13us,11
695.52us,9
695.53us,12
695.72us,8
695.73us,10
695.92us,8
695.93us,12
696.12us,8
696.13us,11
696.73us,10
696.93us,11
697.13us,10
697.33us,11
697.72us,9
697.93us,11
698.33us,10
698.73us,11
698.92us,9
699.13us,10
699.52us,8
699.73us,9
699.92us,1
699.93us,7
700.13us,8
700.32us,0
700.33us,7
700.53us,9
701.13us,8
701.32us,0
701.33us,7
701.73us,8
702.13us,9
702.33us,8
702.72us,0
702.73us,7
703.53us,6
703.73us,7
704.33us,6
704.72us,4
704.73us,5
704.93us,7
705.32us,5
705.53us,6
706.12us,4
706.33us,7
706.52us,5
706.93us,6
707.12us,4
707.33us,5
707.73us,6
707.92us,2
707.93us,3
708.12us,1
708.13us,5
708.52us,1
708.53us,3
708.72us,1
708.73us,5
709.52us,1
709.53us,2
709.72us,0
709.73us,5
709.92us,1
709.93us,3
710.52us,1
710.73us,3
711.12us,1
711.33us,2
711.53us,3
711.93us,2
712.13us,3
712.32us,1
712.53us,3
712.73us,2
712.92us,0
712.93us,1
713.33us,2
713.53us,3
713.73us,1023
713.93us,1
714.13us,2
714.33us,1023
714.53us,3
714.73us,1023
714.93us,1
715.13us,2
715.33us,1022
715.53us,0
715.54us,1
715.73us,1023
716.13us,2
716.33us,1023
716.73us,0
716.93us,1023
717.33us,1
717.53us,1019
717.73us,1
718.13us,1021
718.33us,0
718.53us,1020
718.73us,1021
718.93us,1023
719.12us,1021
719.33us,1
719.53us,1021
719.73us,1023
720.12us,1021
720.13us,1020
720.33us,1023
720.72us,1021
721.73us,1022
721.92us,1020
721.93us,1021
722.32us,1017
722.33us,1019
722.72us,1017
722.73us,1020
722.93us,1021
723.32us,1017
723.33us,1019
723.52us,1017
723.53us,1021
723.72us,1017
723.73us,1019
723.92us,1017
723.93us,1021
724.32us,1017
724.33us,1019
725.52us,1017
725.73us,1019
726.13us,1018
726.33us,1019
726.72us,1017
726.93us,1021
727.12us,1017
727.33us,1019
727.72us,1017
728.53us,1019
728.72us,1017
729.33us,1019
729.52us,1017
730.33us,1016
730.52us,1008
730.53us,1015
730.72us,1009
730.73us,1017
730.92us,1009
730.93us,1015
731.12us,1009
731.13us,1017
731.32us,1009
731.33us,1015
731.72us,1009
731.73us,1017
731.92us,1009
731.93us,1015
733.73us,1014
733.93us,1015
734.32us,1013
734.53us,1015
734.72us,1013
734.93us,1014
735.12us,1012
735.13us,1013
735.33us,1015
735.73us,1013
736.72us,1009
736.73us,1011
736.93us,1013
737.72us,1009
737.73us,1011
737.93us,1013
738.33us,1011
741.53us,1009
741.73us,1011
741.93us,1009
742.33us,1011
742.53us,1009
742.73us,1011
742.93us,1009
743.33us,1011
743.53us,1009
743.73us,1011
743.93us,1009
744.13us,1011
744.33us,1009
744.73us,1011
744.93us,1007
745.13us,1009
745.33us,1007
745.52us,999
745.53us,1009
745.73us,1008
745.93us,1009
746.73us,1007
746.92us,999
746.93us,1009
747.13us,1003
747.33us,1007
747.93us,1008
748.32us,992
748.33us,1007
749.53us,1006
749.93us,1007
750.13us,1006
750.33us,1007
750.53us,1006
750.73us,1007
750.92us,1005
751.33us,1007
751.52us,1003
751.73us,1007
751.93us,1006
752.33us,1005
753.33us,1004
753.53us,1005
753.73us,1004
753.93us,1005
754.13us,1006
754.33us,1003
754.53us,1005
755.33us,1003
755.53us,1005
755.73us,1003
756.73us,1004
756.93us,1003
757.13us,1004
757.32us,1000
757.33us,1002
757.53us,1003
758.13us,1002
758.33us,1003
758.53us,1002
758.93us,1003
759.12us,1001
759.33us,1003
759.53us,1002
759.72us,1000
759.73us,1005
759.92us,1001
759.93us,1003
760.13us,1002
760.33us,1001
760.73us,1002
760.93us,1001
761.33us,1003
761.53us,1001
761.93us,1000
762.13us,1001
762.53us,1002
762.73us,1001
762.93us,1000
763.13us,1002
763.32us,994
763.33us,999
763.53us,1001
763.92us,993
763.93us,999
764.13us,1000
764.33us,1001
764.53us,1000
764.73us,999
764.93us,1000
765.33us,1001
765.53us,999
765.73us,1000
765.93us,999
766.13us,1000
766.33us,999
766.53us,1001
766.73us,1000
766.93us,999
767.33us,1001
767.53us,999
768.33us,998
768.93us,999
769.13us,998
769.33us,997
769.53us,999
770.33us,997
770.53us,999
770.73us,997
770.93us,996
771.13us,997
771.93us,999
772.13us,1004
772.33us,999
772.53us,998
772.73us,995
772.93us,997
773.13us,996
773.33us,998
773.53us,996
773.73us,997
773.93us,996
774.33us,998
774.53us,995
774.73us,997
774.93us,995
775.33us,997
775.53us,995
775.73us,997
775.93us,995
776.13us,996
776.53us,995
778.33us,994
778.53us,995
778.73us,993
778.93us,995
779.13us,993
779.33us,994
779.53us,996
779.73us,994
779.93us,995
780.33us,993
780.53us,995
780.72us,993
781.33us,995
781.52us,993
781.93us,995
782.13us,993
782.73us,992
782.93us,994
783.12us,992
783.13us,993
783.73us,994
783.92us,992
783.93us,993
785.33us,992
786.13us,993
786.33us,991
786.53us,993
786.73us,991
787.13us,993
787.33us,990
787.53us,992
787.73us,993
787.93us,991
788.13us,993
788.33us,991
788.52us,983
788.53us,993
788.73us,991
790.32us,989
790.53us,991
792.13us,990
792.33us,991
792.73us,990
792.93us,993
793.13us,989
793.33us,991
793.73us,989
794.13us,991
794.33us,989
794.53us,990
794.73us,989
796.93us,988
797.13us,989
797.33us,987
797.53us,989
797.93us,991
798.13us,989
798.33us,987
798.53us,989
800.73us,988
800.93us,987
801.33us,989
801.73us,987
801.93us,989
802.13us,987
802.33us,989
802.53us,987
802.93us,989
803.13us,987
803.93us,989
804.13us,987
805.13us,985
805.33us,987
805.73us,988
805.93us,987
806.53us,986
806.73us,987
807.73us,989
807.93us,987
808.13us,988
808.33us,987
808.53us,985
808.73us,987
808.93us,985
809.13us,986
809.33us,987
809.53us,985
809.73us,987
809.93us,985
810.13us,987
810.73us,985
811.13us,987
811.33us,985
811.53us,986
811.73us,985
813.53us,987
813.73us,985
815.13us,983
815.33us,985
815.73us,987
815.93us,985
817.73us,987
817.93us,985
819.13us,983
819.53us,985
820.33us,984
820.53us,985
821.33us,983
821.53us,986
821.73us,983
821.93us,985
822.13us,983
822.53us,984
822.73us,983
822.93us,985
824.13us,983
824.33us,985
824.53us,983
824.73us,985
824.93us,983
825.33us,985
825.53us,983
826.13us,985
826.33us,983
826.53us,985
826.93us,983
827.13us,985
827.93us,983
828.33us,984
828.53us,983
828.73us,986
828.93us,985
829.13us,983
829.33us,985
829.73us,983
830.13us,985
830.33us,983
830.53us,984
830.73us,983
831.13us,985
831.33us,983
831.93us,984
832.33us,983
832.53us,985
832.73us,984
832.93us,985
833.13us,983
835.73us,985
836.13us,983
836.33us,984
836.73us,983
836.93us,984
837.13us,983
837.53us,984
837.73us,985
837.93us,983
838.13us,985
838.33us,983
838.73us,985
838.93us,984
839.13us,983
839.33us,985
839.53us,983
839.73us,985
839.93us,984
840.13us,985
840.73us,983
841.33us,985
841.53us,983
841.93us,984
842.13us,983
843.33us,985
843.73us,983
845.13us,984
845.33us,985
845.73us,983
845.93us,987
846.13us,983
846.33us,985
846.73us,983
846.93us,985
847.93us,983
848.13us,984
848.33us,985
848.53us,983
848.73us,985
848.93us,984
849.13us,985
849.53us,984
849.73us,985
849.93us,984
850.13us,985
850.93us,983
851.13us,985
851.33us,983
851.53us,985
852.33us,983
852.53us,985
853.13us,983
853.33us,985
853.73us,983
853.93us,985
856.13us,984
856.33us,985
856.53us,986
856.73us,985
856.93us,986
857.13us,985
857.73us,987
857.93us,985
858.33us,986
858.53us,985
858.73us,987
858.93us,985
859.33us,987
859.53us,983
859.73us,987
859.93us,985
860.13us,986
860.33us,987
860.53us,985
860.73us,986
860.93us,985
861.53us,986
861.73us,987
861.93us,985
862.13us,987
862.73us,985
862.93us,986
863.13us,987
863.33us,985
863.53us,987
864.33us,985
864.53us,987
864.73us,985
864.93us,986
865.13us,987
866.93us,989
867.13us,987
868.33us,989
868.53us,987
869.33us,989
869.53us,988
869.73us,987
869.93us,989
870.13us,987
870.33us,988
870.53us,987
870.73us,985
870.93us,987
871.73us,989
871.93us,987
872.13us,989
872.93us,987
873.13us,989
875.33us,988
875.53us,989
877.13us,991
877.33us,989
877.53us,991
877.73us,988
877.93us,990
878.13us,991
878.53us,990
878.93us,991
879.53us,989
879.73us,991
880.13us,990
880.33us,993
880.53us,991
880.93us,990
881.13us,991
881.33us,990
881.53us,991
883.53us,992
883.73us,991
884.13us,992
884.33us,991
884.53us,993
884.73us,992
884.93us,991
885.13us,993
885.53us,991
885.73us,993
886.13us,990
886.33us,993
887.13us,992
887.33us,991
887.53us,993
887.93us,995
888.13us,994
888.73us,993
888.93us,994
889.13us,992
889.33us,993
889.73us,994
890.13us,993
890.33us,995
890.53us,993
891.13us,995
891.53us,994
891.93us,993
892.13us,995
892.53us,993
892.73us,995
892.93us,994
893.13us,993
893.33us,995
893.53us,994
893.73us,993
893.93us,994
894.13us,996
894.53us,995
895.13us,999
895.33us,994
895.53us,995
895.73us,997
895.93us,994
896.13us,997
896.33us,995
896.53us,997
896.93us,995
897.13us,997
898.73us,996
898.93us,997
899.93us,998
900.13us,997
900.33us,999
900.53us,996
900.73us,998
900.93us,999
901.13us,997
901.33us,999
901.53us,998
901.73us,999
901.93us,997
902.13us,999
902.53us,997
902.73us,999
903.13us,997
903.33us,998
903.53us,999
904.13us,1000
904.33us,998
904.53us,999
904.73us,998
904.93us,999
905.13us,1001
905.33us,1000
905.53us,1001
905.73us,1000
905.93us,999
906.13us,1001
906.33us,999
906.53us,1001
906.73us,1000
907.33us,999
907.53us,1002
907.73us,1001
907.93us,1000
908.13us,1002
908.33us,1001
909.13us,1002
909.33us,1001
909.73us,1002
909.93us,1003
910.13us,1001
910.33us,1002
910.73us,1001
910.93us,1003
911.13us,1002
911.33us,1003
911.53us,1002
911.93us,1003
912.13us,1001
912.33us,1003
912.53us,1002
912.73us,1003
913.13us,1002
913.33us,1004
913.73us,1003
913.93us,1005
914.13us,1004
914.33us,1003
914.53us,1005
914.93us,1003
915.13us,1005
915.33us,1004
915.53us,1003
915.73us,1005
915.93us,1003
916.13us,1005
916.73us,1006
916.93us,1005
917.53us,1006
917.73us,1005
918.13us,1008
918.33us,1005
918.73us,1006
918.93us,1005
919.33us,1006
919.53us,1005
919.93us,1002
920.13us,1005
920.33us,1006
920.53us,1007
920.73us,1006
920.93us,1008
921.13us,1007
921.33us,1006
921.53us,1008
921.73us,1007
922.33us,1009
922.53us,1007
922.73us,1008
923.13us,1007
923.33us,1009
923.73us,1007
923.93us,1009
924.33us,1007
924.53us,1008
924.73us,1009
924.93us,1008
925.33us,1009
925.53us,1008
925.73us,1011
925.93us,1009
926.33us,1011
926.53us,1009
926.73us,1011
926.93us,1009
927.13us,1011
927.53us,1010
927.73us,1011
927.93us,1009
928.13us,1013
928.33us,1011
930.53us,1013
930.73us,1011
931.53us,1013
932.13us,1011
932.33us,1013
932.93us,1014
933.13us,1013
933.33us,1014
933.53us,1013
933.73us,1015
934.33us,1013
934.73us,1015
934.93us,1013
935.73us,1016
935.93us,1014
936.13us,1015
936.93us,1013
937.13us,1016
937.33us,1015
937.73us,1017
937.93us,1015
938.13us,1017
938.33us,1016
938.53us,1017
938.73us,1016
938.93us,1015
939.53us,1017
939.73us,1016
939.93us,1017
940.33us,1015
940.53us,1018
940.73us,1015
940.93us,1017
941.33us,1018
941.53us,1017
941.73us,1019
941.93us,1017
942.13us,1018
942.33us,1019
942.53us,1017
942.73us,1019
943.13us,1017
943.33us,1019
943.53us,1017
943.73us,1019
944.53us,1023
944.73us,1022
944.93us,1021
945.13us,1019
945.33us,1021
945.53us,1019
945.73us,1020
945.93us,1019
946.33us,1021
946.53us,1019
946.73us,1021
946.93us,1019
947.13us,1021
947.33us,1020
947.53us,1021
948.13us,1022
948.33us,1021
948.73us,1023
948.93us,1019
949.13us,1023
949.33us,1021
949.73us,1023
949.93us,1022
950.33us,1021
950.53us,1023
950.73us,1022
950.93us,1023
951.53us,0
951.73us,256
951.74us,1023
952.13us,1021
952.33us,1023
952.53us,0
952.73us,1
953.13us,1021
953.33us,1023
953.93us,1
954.53us,0
954.73us,510
954.74us,1023
954.93us,1
955.73us,0
955.93us,1
956.73us,2
956.93us,1
957.93us,2
958.13us,3
958.33us,2
958.73us,3
958.93us,1
959.13us,3
959.33us,1
959.53us,3
960.13us,4
960.33us,3
960.53us,5
960.73us,3
961.13us,5
961.33us,3
961.53us,4
962.13us,5
963.13us,4
963.33us,5
963.93us,7
964.13us,5
964.73us,6
964.93us,5
965.13us,6
965.53us,5
965.73us,7
966.13us,5
966.33us,8
966.53us,7
966.93us,6
967.13us,8
967.33us,7
967.73us,9
967.93us,7
968.13us,8
968.33us,9
968.53us,7
968.73us,9
968.93us,7
969.13us,8
969.33us,9
969.53us,7
969.73us,9
970.13us,7
970.33us,9
971.33us,8
971.53us,10
971.73us,9
971.93us,10
972.13us,11
972.33us,9
972.53us,10
972.73us,11
972.93us,9
973.13us,11
973.73us,9
973.93us,11
974.13us,12
974.33us,10
974.53us,11
975.73us,13
976.13us,11
976.33us,13
976.53us,10
976.73us,13
976.93us,12
977.13us,13
977.53us,11
977.73us,13
977.93us,12
978.33us,14
978.53us,11
978.73us,16
978.93us,13
979.33us,14
979.53us,13
980.53us,15
980.73us,14
981.13us,15
981.73us,14
982.13us,15
982.73us,14
982.93us,16
983.13us,14
983.33us,15
983.53us,16
983.73us,14
983.93us,16
984.73us,19
984.93us,15
985.13us,17
985.53us,16
985.73us,17
985.93us,16
986.13us,17
986.33us,18
986.53us,17
986.93us,15
987.13us,17
987.73us,19
987.93us,17
988.33us,19
988.53us,17
988.73us,19
988.93us,18
989.33us,19
989.93us,18
990.13us,19
990.53us,20
990.73us,19
990.93us,21
991.33us,19
991.53us,21
991.93us,19
992.13us,21
992.33us,19
992.73us,21
992.93us,19
993.13us,21
993.53us,26
993.73us,21
994.33us,24
994.53us,23
995.13us,21
995.53us,22
995.73us,21
995.93us,23
996.13us,21
996.33us,23
996.73us,22
996.93us,23
997.13us,19
997.33us,25
997.73us,23
998.13us,21
998.33us,23
998.53us,25
998.73us,23
998.93us,25
999.13us,23
999.33us,24
999.53us,23
999.73us,25
999.93us,23
1.00013ms,25
1.00253ms,21
1.00273ms,27
1.00293ms,25
1.00313ms,27
1.00333ms,25
1.00353ms,26
1.00373ms,27
1.00393ms,25
1.00433ms,26
1.00453ms,25
1.00473ms,26
1.00513ms,27
1.00573ms,25
1.00593ms,27
1.00693ms,29
1.00713ms,27
1.00753ms,29
1.00773ms,27
1.00793ms,29
1.00813ms,27
1.00853ms,29
1.00973ms,28
1.00994ms,29
1.01073ms,30
1.01093ms,29
1.01153ms,30
1.01173ms,29
1.01213ms,31
1.01233ms,29
1.01253ms,30
1.01273ms,31
1.01293ms,29
1.01333ms,31
1.01373ms,30
1.01393ms,31
1.01433ms,29
1.01453ms,31
1.01473ms,29
1.01493ms,31
1.01513ms,30
1.01533ms,31
1.01553ms,32
1.01573ms,30
1.01574ms,31
1.01673ms,33
1.01693ms,31
1.01713ms,32
1.01734ms,33
1.01753ms,32
1.01773ms,30
1.01774ms,31
1.01793ms,33
1.01813ms,31
1.01833ms,33
1.01873ms,32
1.01913ms,33
1.01933ms,31
1.01953ms,32
1.01993ms,33
1.02013ms,31
1.02033ms,33
1.02053ms,31
1.02073ms,35
1.02093ms,33
1.02173ms,34
1.02193ms,36
1.02213ms,35
1.02233ms,33
1.02253ms,35
1.02293ms,33
1.02333ms,34
1.02353ms,35
1.02373ms,34
1.02393ms,33
1.02413ms,35
1.02433ms,33
1.02453ms,37
1.02473ms,33
1.02493ms,35
1.02533ms,34
1.02553ms,36
1.02573ms,35
1.02653ms,37
1.02673ms,35
1.02793ms,38
1.02813ms,35
1.02833ms,37
1.02873ms,36
1.02894ms,37
1.02913ms,36
1.02934ms,37
1.02973ms,35
1.02993ms,37
1.03033ms,39
1.03053ms,36
1.03073ms,38
1.03093ms,37
1.03173ms,39
1.03193ms,38
1.03213ms,39
1.03233ms,37
1.03253ms,38
1.03273ms,39
1.03293ms,37
1.03313ms,38
1.03333ms,37
1.03353ms,38
1.03373ms,39
1.03393ms,38
1.03413ms,39
1.03433ms,38
1.03453ms,39
1.03473ms,38
1.03493ms,37
1.03513ms,40
1.03533ms,37
1.03553ms,41
1.03573ms,39
1.03593ms,38
1.03613ms,39
1.03633ms,37
1.03653ms,39
1.03733ms,40
1.03773ms,39
1.03793ms,41
1.03813ms,43
1.03833ms,41
1.03893ms,40
1.03913ms,39
1.03933ms,41
1.03953ms,40
1.03973ms,41
1.04013ms,40
1.04033ms,41
1.04053ms,40
1.04073ms,39
1.04093ms,41
1.04113ms,39
1.04133ms,41
1.04153ms,39
1.04173ms,40
1.04194ms,41
1.04293ms,40
1.04313ms,41
1.04373ms,43
1.04393ms,41
1.04413ms,42
1.04433ms,41
1.04473ms,42
1.04493ms,41
1.04553ms,42
1.04573ms,41
1.04673ms,43
1.04713ms,39
1.04733ms,41
1.04753ms,43
1.04773ms,42
1.04794ms,43
1.04813ms,41
1.04833ms,43
1.04853ms,45
1.04873ms,40
1.04893ms,42
1.04894ms,43
1.04933ms,42
1.04953ms,43
1.04973ms,42
1.04994ms,43
1.05013ms,42
1.05033ms,43
1.05093ms,45
1.05113ms,42
1.05133ms,43
1.05173ms,42
1.05193ms,43
1.05273ms,45
1.05293ms,43
1.05333ms,44
1.05353ms,43
1.05393ms,45
1.05413ms,43
1.05433ms,45
1.05453ms,43
1.05513ms,45
1.05533ms,43
1.05573ms,44
1.05593ms,43
1.05613ms,45
1.05713ms,43
1.05733ms,45
1.05773ms,44
1.05794ms,45
1.05833ms,44
1.05853ms,46
1.05854ms,47
1.05873ms,43
1.05893ms,45
1.05933ms,44
1.05954ms,45
1.06073ms,44
1.06094ms,45
1.06133ms,44
1.06153ms,46
1.06193ms,45
1.06213ms,47
1.06233ms,45
1.06313ms,46
1.06353ms,45
1.06373ms,47
1.06393ms,46
1.06413ms,45
1.06433ms,47
1.06453ms,45
1.06493ms,41
1.06513ms,47
1.06553ms,45
1.06573ms,47
1.06593ms,45
1.06613ms,47
1.06633ms,48
1.06653ms,44
1.06654ms,45
1.06673ms,46
1.06693ms,45
1.06753ms,47
1.06773ms,45
1.06793ms,46
1.06814ms,47
1.06833ms,48
1.06854ms,49
1.06873ms,46
1.06914ms,47
1.06933ms,45
1.06953ms,47
1.06973ms,46
1.06994ms,47
1.07033ms,46
1.07054ms,47
1.07073ms,45
1.07093ms,47
1.07133ms,46
1.07154ms,47
1.07253ms,46
1.07273ms,48
1.07293ms,46
1.07294ms,47
1.07353ms,45
1.07373ms,47
1.07413ms,45
1.07433ms,47
1.07513ms,49
1.07533ms,47
1.07573ms,48
1.07593ms,46
1.07594ms,47
1.07613ms,49
1.07633ms,47
1.07693ms,48
1.07733ms,46
1.07734ms,47
1.07813ms,49
1.07853ms,47
1.07933ms,46
1.07953ms,49
1.07973ms,47
1.07993ms,48
1.08013ms,32
1.08014ms,47
1.08053ms,49
1.08073ms,45
1.08093ms,48
1.08113ms,32
1.08114ms,47
1.08153ms,48
1.08173ms,32
1.08174ms,47
1.08213ms,32
1.08214ms,48
1.08233ms,32
1.08234ms,46
1.08253ms,32
1.08254ms,48
1.08294ms,49
1.08313ms,33
1.08314ms,47
1.08373ms,46
1.08393ms,32
1.08394ms,49
1.08413ms,33
1.08414ms,47
1.08453ms,33
1.08454ms,49
1.08473ms,33
1.08474ms,47
1.08573ms,48
1.08593ms,32
1.08594ms,47
1.08633ms,48
1.08653ms,32
1.08654ms,47
1.08713ms,48
1.08733ms,44
1.08734ms,47
1.08813ms,49
1.08833ms,47
1.08853ms,49
1.08873ms,47
1.08953ms,48
1.08993ms,46
1.08994ms,47
1.09013ms,48
1.09033ms,46
1.09054ms,47
1.09133ms,45
1.09153ms,47
1.09193ms,48
1.09213ms,46
1.09214ms,47
1.09233ms,49
1.09253ms,47
1.09293ms,49
1.09313ms,47
1.09333ms,48
1.09354ms,49
1.09373ms,45
1.09393ms,49
1.09413ms,47
1.09453ms,48
1.09473ms,44
1.09474ms,47
1.09493ms,46
1.09514ms,47
1.09573ms,49
1.09593ms,47
1.09693ms,46
1.09713ms,48
1.09733ms,46
1.09754ms,47
1.09833ms,46
1.09854ms,47
1.09893ms,45
1.09913ms,47
1.09933ms,46
1.09954ms,47
1.09973ms,46
1.09994ms,47
1.10033ms,45
