Time,MyBus0
117.52us,43
118.32us,39
118.52us,43
119.52us,42
119.72us,45
119.92us,42
120.12us,44
120.32us,42
120.52us,45
120.72us,44
120.92us,43
121.32us,41
121.52us,43
121.92us,41
122.12us,43
122.32us,42
122.52us,43
122.72us,42
122.92us,41
123.12us,43
123.32us,42
123.72us,41
123.92us,43
124.32us,41
124.52us,42
124.72us,40
124.92us,43
125.12us,41
125.32us,42
125.52us,41
125.72us,39
125.92us,41
127.72us,40
127.92us,41
128.12us,38
128.32us,41
128.52us,40
128.92us,41
129.12us,39
129.32us,41
129.52us,39
129.72us,42
129.92us,40
130.12us,39
130.32us,42
130.52us,40
130.72us,41
130.92us,39
131.12us,40
131.32us,39
131.72us,41
131.92us,39
132.12us,40
132.32us,39
132.92us,40
133.11us,32
133.12us,39
133.32us,41
133.51us,33
133.52us,38
133.72us,39
133.92us,40
134.11us,32
134.12us,39
134.71us,37
134.92us,39
135.92us,41
136.11us,33
136.12us,37
136.32us,39
137.12us,37
137.52us,38
137.72us,37
137.92us,38
138.12us,37
138.52us,35
138.72us,37
139.32us,38
139.52us,36
139.72us,38
139.92us,37
140.52us,36
140.72us,37
141.52us,35
141.72us,39
141.92us,35
142.12us,37
142.32us,36
142.52us,35
143.12us,37
143.32us,39
143.52us,36
143.92us,35
144.12us,36
144.32us,35
145.32us,36
145.52us,37
145.72us,35
146.72us,33
146.92us,35
147.12us,33
147.32us,35
147.72us,34
147.92us,33
148.12us,34
148.32us,33
148.92us,34
149.12us,33
149.32us,35
149.52us,33
149.72us,34
150.12us,33
150.32us,35
150.52us,33
150.92us,34
151.12us,33
151.32us,34
151.52us,33
151.92us,31
152.12us,33
152.32us,32
152.52us,31
152.72us,33
152.92us,31
153.12us,32
153.32us,33
153.52us,31
153.72us,32
153.92us,33
154.32us,31
154.52us,33
154.72us,31
154.92us,32
155.12us,31
155.32us,27
155.52us,30
155.72us,31
156.32us,32
156.52us,31
156.92us,33
157.12us,30
157.32us,31
157.52us,30
157.72us,29
157.92us,31
158.72us,29
158.92us,31
159.12us,29
159.32us,31
159.52us,30
159.72us,29
160.32us,30
160.52us,29
161.32us,28
161.52us,29
162.32us,27
162.52us,29
162.92us,27
163.12us,29
163.52us,27
164.52us,29
164.72us,27
166.72us,26
166.92us,27
167.12us,25
167.32us,27
167.52us,25
167.92us,27
168.12us,25
168.32us,26
168.52us,25
170.32us,27
170.52us,23
170.72us,25
171.12us,23
171.32us,25
171.52us,24
171.72us,25
172.12us,23
172.72us,25
172.92us,23
173.32us,25
173.52us,23
173.72us,25
173.92us,23
175.12us,21
175.52us,23
175.72us,21
176.12us,22
176.32us,21
176.52us,23
176.72us,22
176.92us,21
177.52us,22
177.72us,20
177.92us,23
178.12us,21
178.32us,19
178.52us,23
178.72us,19
178.92us,21
179.12us,19
179.52us,25
179.72us,21
180.12us,19
180.32us,21
180.52us,19
180.92us,20
181.12us,19
181.32us,21
181.52us,19
182.52us,17
182.72us,20
182.92us,18
183.12us,19
183.92us,18
184.12us,17
186.32us,15
186.52us,16
187.12us,17
187.32us,16
187.52us,17
187.72us,15
187.92us,17
188.32us,15
188.92us,16
189.12us,15
191.12us,13
191.32us,15
191.52us,13
191.72us,14
192.12us,13
192.32us,14
192.52us,13
192.72us,14
192.92us,13
193.32us,14
193.52us,12
193.72us,13
194.52us,11
194.72us,12
195.12us,13
195.32us,11
196.32us,13
196.52us,12
196.72us,9
196.92us,11
197.32us,10
197.52us,11
198.32us,10
198.52us,11
198.72us,9
198.92us,10
199.12us,9
199.32us,10
199.52us,9
199.72us,10
199.92us,9
200.12us,7
200.32us,10
200.52us,9
201.12us,8
201.32us,9
201.52us,8
201.72us,9
202.52us,5
202.72us,7
202.92us,9
203.12us,7
203.32us,9
203.52us,7
203.92us,8
204.12us,9
204.32us,7
204.52us,8
204.72us,6
204.92us,5
205.12us,7
205.32us,5
205.52us,4
205.72us,6
205.92us,5
206.12us,7
206.52us,5
208.12us,6
208.32us,5
